,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
2117,18.0,0.5897435897435876,0.0020983531578809517,0.00022458762481996497,2.017750006967231e-05,0.0,0.0,0.0,0.0,0.0,0.16631848420570258,0.039417227921374746,2.523860242981811e-05,0.23999689996971274
16432,143.0,0.4102564102564088,5.870064770467977e-05,2.6895541826887844e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,3.0,0.2412926225542203,-1.0642151397220732,5.144307483615171e-07,0.11680425461164491
6521,57.0,0.5384615384615365,0.00026066848552024725,1.976575166827215e-05,1.0987747562692841e-06,0.0,0.0,0.0,0.0,0.0,-0.46360274396711887,0.5480182304323244,7.847693559188449e-07,0.19294457363088385
8834,77.0,0.7948717948717956,0.6568577057562487,0.10991846409847245,0.06765445851331181,0.023,0.016,0.042,0.004,1.0,0.3901005447512339,1.373011126972063,0.033727911865960435,0.5430984222964947
18413,160.0,0.6837606837606813,0.02658330349321106,0.029876872060605252,0.02136737324209774,0.001,0.002,0.004,0.0,2.0,0.6863693771898276,-0.08443866443767199,0.010407957651556865,0.3645850267604184
13313,116.0,0.33333333333333215,0.010568961423991942,0.0006968255524161609,0.00032284000111475696,0.001,0.003,0.004,0.0,1.0,0.2997611629680058,1.6755154745399765,0.0003290362058040471,0.08731374179053404
6855,60.0,0.5982905982905962,0.0032651100754462086,0.003998280257393303,0.0040310050262951785,0.001,0.001,0.002,0.0,2.0,1.1038645121419264,0.4524053363141955,0.0012967093145854892,0.24961397292671317
11029,96.0,0.6153846153846132,0.001091333988081254,0.0003828688255961103,0.00015043225299468562,0.0,0.0,0.0,0.0,0.0,0.10035594504281264,-0.16346496163581295,3.422014335274215e-05,0.27007762337230923
15850,138.0,0.4188034188034173,1.5347371701296008e-05,6.633342234506288e-05,2.5971039693637628e-05,0.0,0.0,0.0,0.0,1.0,0.44215644878721944,0.8941239640225643,3.412040677908022e-05,0.1204173405778438
17784,154.0,0.9572649572649574,0.0014659874117360111,0.0029426221203043045,0.0015742445598912653,0.0,0.0,0.001,0.0,2.0,0.8049448806167208,0.2585763458653568,0.001967983698970412,0.8860623864435648
12237,106.0,0.9658119658119659,0.0003088832279985934,0.0006103173144463162,0.00023763501319678428,0.0,0.0,0.0,0.0,2.0,0.6263742217139322,0.25215977900608133,0.00027453016829780407,0.9088431202751112
9054,79.0,0.6581196581196558,0.02472894050215759,0.02052340083197339,0.016354962581225676,0.004,0.002,0.006,0.0,1.0,0.5698069155782338,0.952327589635836,0.006617792001076399,0.32680187094691204
2226,19.0,0.512820512820511,0.0001555414002453099,0.00014436673551224943,0.0,0.0,0.0,0.0,0.0,1.0,0.48082967426439555,1.5797311437107413,0.0,0.17391533358811517
3813,34.0,0.1025641025641022,0.0025950169102133378,0.0009247193566511036,0.00034581438238220566,0.0,0.0,0.001,0.0,5.0,-0.5543398967588519,-1.2447473497365686,7.7151489020851e-05,0.021196517063994103
8057,70.0,0.8034188034188041,0.005148069636142145,0.0003384265191663443,0.00011237469098208589,0.0,0.001,0.001,0.0,0.0,0.18714506881875492,-0.1868961167995797,8.447162859830135e-05,0.5580292283810039
19088,166.0,0.4017094017094003,0.0023899865470615156,0.0007603872590197254,2.497215355157464e-06,0.0,0.0,0.0,0.0,1.0,0.6045853009485737,0.6815407859331745,1.5984098252661424e-06,0.11335419678595096
8166,71.0,0.7264957264957239,0.0006368762170094732,5.681796320256673e-05,1.7180841643483353e-05,0.0,0.0,0.0,0.0,0.0,0.2062144035810218,-0.2659027336650752,7.33851210417756e-06,0.4277388817567016
